hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
1,10,1,2024,6.5,87,100,23.7,0.0
2,10,1,2024,6.7,87,100,29.8,0.0
3,10,1,2024,6.6,85,100,33.2,0.0
4,10,1,2024,6.2,87,100,36.7,0.0
5,10,1,2024,5.6,86,100,38.1,0.0
6,10,1,2024,4.8,85,100,38.5,0.0
7,10,1,2024,4.6,83,100,36.7,0.0
8,10,1,2024,4.6,83,100,32.5,0.0
9,10,1,2024,4.6,83,100,32.5,0.0
10,10,1,2024,4.8,81,100,33.7,0.0
11,10,1,2024,4.7,81,100,34.0,0.0
12,10,1,2024,4.5,81,100,33.1,2.2
13,10,1,2024,4.9,77,100,33.2,2.1
14,10,1,2024,4.7,76,100,32.6,0.0
15,10,1,2024,4.6,76,100,31.1,0.0
16,10,1,2024,4.6,66,100,34.3,2.5
17,10,1,2024,4.5,65,100,37.2,2.0
18,10,1,2024,3.2,77,100,34.3,0.0
19,10,1,2024,3.6,73,100,33.5,0.0
20,10,1,2024,3.6,73,99,32.1,0.0
21,10,1,2024,3.3,75,100,28.5,0.0
22,10,1,2024,3.6,71,100,27.9,0.0
23,10,1,2024,3.5,69,80,24.1,0.0
0,11,1,2024,3.6,67,75,20.9,0.0
1,11,1,2024,3.6,69,92,19.8,0.0
2,11,1,2024,3.8,71,90,19.1,0.0
3,11,1,2024,3.5,74,90,17.7,0.0
4,11,1,2024,3.8,72,92,16.9,0.0
5,11,1,2024,3.8,72,92,15.5,0.0
6,11,1,2024,4.0,70,100,15.0,0.0
7,11,1,2024,4.2,69,100,16.4,0.0
8,11,1,2024,4.1,71,95,17.3,0.0
9,11,1,2024,4.0,73,96,16.2,0.0
10,11,1,2024,4.6,71,88,17.4,23.8
11,11,1,2024,5.3,67,100,18.9,34.7
12,11,1,2024,5.7,67,84,17.3,56.8
13,11,1,2024,5.5,68,91,15.3,26.8
14,11,1,2024,5.6,69,90,14.0,20.5
15,11,1,2024,5.3,70,100,12.9,14.7
16,11,1,2024,5.2,69,100,9.2,30.9
17,11,1,2024,5.0,68,100,8.0,3.3
18,11,1,2024,4.7,68,100,6.2,0.0
19,11,1,2024,4.5,70,100,6.5,0.0
20,11,1,2024,4.1,73,100,7.3,0.0
21,11,1,2024,3.5,75,100,8.3,0.0
22,11,1,2024,3.4,75,100,8.6,0.0
23,11,1,2024,3.3,77,100,6.9,0.0
0,12,1,2024,3.0,79,98,6.2,0.0
1,12,1,2024,2.4,82,96,6.4,0.0
2,12,1,2024,2.0,83,66,7.1,0.0
3,12,1,2024,0.9,87,20,5.4,0.0
4,12,1,2024,1.9,66,0,9.0,0.0
5,12,1,2024,1.4,65,0,10.3,0.0
6,12,1,2024,1.1,64,0,10.5,0.0
7,12,1,2024,0.6,65,0,10.8,0.0
8,12,1,2024,-0.0,69,0,8.4,0.0
9,12,1,2024,-0.3,73,0,8.1,7.4
10,12,1,2024,1.8,69,22,13.4,105.2
11,12,1,2024,4.5,64,10,14.5,222.5
12,12,1,2024,5.4,58,22,20.8,310.4
13,12,1,2024,6.1,53,46,19.5,343.7
14,12,1,2024,6.6,53,100,20.2,267.4
15,12,1,2024,5.2,69,91,20.6,28.5
16,12,1,2024,5.4,74,98,20.0,45.1
17,12,1,2024,4.0,77,79,22.5,37.7
18,12,1,2024,3.7,78,97,21.3,0.0
19,12,1,2024,3.7,73,100,23.4,0.0
20,12,1,2024,3.8,69,76,27.3,0.0
21,12,1,2024,2.9,72,40,28.0,0.0
22,12,1,2024,2.7,71,44,29.1,0.0
23,12,1,2024,2.3,70,51,27.7,0.0
0,13,1,2024,2.4,65,24,26.3,0.0
1,13,1,2024,2.2,59,7,23.8,0.0
2,13,1,2024,1.4,59,8,20.5,0.0
3,13,1,2024,0.9,61,6,17.3,0.0
4,13,1,2024,0.8,62,21,12.5,0.0
5,13,1,2024,0.9,61,89,12.0,0.0
6,13,1,2024,1.7,58,92,13.8,0.0
7,13,1,2024,1.9,58,95,14.9,0.0
8,13,1,2024,2.0,58,100,15.6,0.0
9,13,1,2024,2.2,59,100,13.5,0.0
10,13,1,2024,2.4,60,100,12.0,3.0
11,13,1,2024,3.1,56,100,12.7,49.0
12,13,1,2024,3.1,55,100,12.0,8.7
13,13,1,2024,3.1,57,100,10.5,0.0
14,13,1,2024,3.2,57,100,8.9,0.0
15,13,1,2024,3.4,56,100,7.6,7.4
16,13,1,2024,3.7,54,100,8.6,25.1
17,13,1,2024,3.5,54,90,7.6,0.0
18,13,1,2024,3.2,54,39,4.8,0.0
19,13,1,2024,2.3,68,42,4.4,0.0
20,13,1,2024,1.3,74,43,5.8,0.0
21,13,1,2024,0.9,77,6,5.9,0.0
22,13,1,2024,0.1,79,2,5.9,0.0
23,13,1,2024,-0.3,81,0,5.4,0.0
0,14,1,2024,-0.9,82,1,5.4,0.0
1,14,1,2024,-1.1,78,1,4.3,0.0
2,14,1,2024,-1.7,78,0,4.5,0.0
3,14,1,2024,-2.4,81,1,7.0,0.0
4,14,1,2024,2.3,56,26,6.6,0.0
5,14,1,2024,0.6,64,0,5.6,0.0
6,14,1,2024,-0.6,69,0,7.0,0.0
7,14,1,2024,-0.6,72,0,9.1,0.0
8,14,1,2024,-1.0,76,0,11.8,0.0
9,14,1,2024,0.0,77,0,10.2,7.3
10,14,1,2024,3.9,69,0,9.0,107.8
11,14,1,2024,4.8,56,0,15.0,235.5
12,14,1,2024,5.1,53,0,17.9,330.0
13,14,1,2024,5.4,57,3,18.6,375.8
14,14,1,2024,5.6,61,3,19.0,360.4
15,14,1,2024,5.8,60,25,18.5,306.3
16,14,1,2024,5.9,64,4,20.4,163.6
17,14,1,2024,5.9,64,9,18.1,79.9
18,14,1,2024,5.3,66,30,15.8,0.0
19,14,1,2024,5.8,66,28,17.3,0.0
20,14,1,2024,6.4,65,22,16.8,0.0
21,14,1,2024,6.8,62,26,17.1,0.0
22,14,1,2024,7.1,61,25,17.8,0.0
23,14,1,2024,7.3,61,13,20.4,0.0
0,15,1,2024,7.4,66,12,22.4,0.0
1,15,1,2024,7.6,69,17,22.9,0.0
2,15,1,2024,7.5,71,5,23.8,0.0
3,15,1,2024,7.5,71,22,24.0,0.0
4,15,1,2024,7.5,74,24,24.2,0.0
5,15,1,2024,7.7,70,26,24.9,0.0
6,15,1,2024,7.9,68,31,25.7,0.0
7,15,1,2024,8.1,65,13,24.6,0.0
8,15,1,2024,8.1,65,66,22.0,0.0
9,15,1,2024,8.3,66,87,20.9,7.3
10,15,1,2024,9.1,65,100,21.5,64.8
11,15,1,2024,9.4,66,100,21.6,62.1
12,15,1,2024,10.1,64,53,22.7,94.0
13,15,1,2024,10.6,62,43,27.5,238.9
14,15,1,2024,10.8,65,49,25.6,108.5
15,15,1,2024,11.5,59,64,29.8,97.6
16,15,1,2024,11.3,63,69,28.3,73.1
17,15,1,2024,11.1,68,46,24.8,22.3
18,15,1,2024,10.9,68,45,26.1,0.0
19,15,1,2024,10.9,69,18,27.6,0.0
20,15,1,2024,10.8,67,10,30.2,0.0
21,15,1,2024,10.7,68,36,30.9,0.0
22,15,1,2024,10.7,65,34,31.4,0.0
23,15,1,2024,10.8,62,41,30.0,0.0
0,16,1,2024,11.1,61,96,30.8,0.0
1,16,1,2024,11.3,65,100,29.8,0.0
2,16,1,2024,11.6,67,100,26.3,0.0
3,16,1,2024,11.6,71,98,28.5,0.0
4,16,1,2024,11.8,71,100,35.7,0.0
5,16,1,2024,11.3,80,100,34.1,0.0
6,16,1,2024,11.3,80,100,29.1,0.0
7,16,1,2024,10.9,85,97,27.3,0.0
8,16,1,2024,10.7,88,100,26.4,0.0
9,16,1,2024,10.8,90,100,26.0,0.0
10,16,1,2024,11.3,90,100,26.0,0.0
11,16,1,2024,11.9,87,83,23.9,1.2
12,16,1,2024,12.8,82,45,23.1,116.9
13,16,1,2024,13.3,84,86,19.9,185.4
14,16,1,2024,11.6,76,100,21.4,77.2
15,16,1,2024,10.3,77,100,17.7,21.2
16,16,1,2024,10.7,69,31,24.0,138.1
17,16,1,2024,9.3,73,78,20.9,57.2
18,16,1,2024,8.6,68,87,21.0,0.0
19,16,1,2024,8.5,61,100,22.3,0.0
20,16,1,2024,8.5,60,100,19.9,0.0
21,16,1,2024,8.2,63,100,15.3,0.0
22,16,1,2024,8.1,68,100,11.8,0.0
23,16,1,2024,7.7,72,24,12.1,0.0
0,17,1,2024,7.0,75,0,13.2,0.0
1,17,1,2024,6.2,77,8,13.9,0.0
2,17,1,2024,5.8,75,9,15.0,0.0
3,17,1,2024,5.5,79,15,15.3,0.0
4,17,1,2024,5.1,86,0,12.8,0.0
5,17,1,2024,5.2,86,0,12.5,0.0
6,17,1,2024,5.1,87,0,12.2,0.0
7,17,1,2024,5.0,88,0,10.7,0.0
8,17,1,2024,4.8,89,0,8.7,0.0
9,17,1,2024,5.1,89,0,8.9,7.2
10,17,1,2024,6.9,85,1,10.2,99.7
11,17,1,2024,8.6,82,0,7.6,219.6
12,17,1,2024,10.0,78,4,6.7,313.5
13,17,1,2024,10.6,77,14,6.1,356.4
14,17,1,2024,10.8,76,10,7.4,338.4
15,17,1,2024,10.6,76,5,8.0,294.2
16,17,1,2024,9.8,81,0,6.1,205.1
17,17,1,2024,9.5,84,0,5.6,85.7
18,17,1,2024,7.4,91,0,7.4,0.0
19,17,1,2024,7.1,90,3,7.6,0.0
20,17,1,2024,6.4,92,12,9.4,0.0
21,17,1,2024,6.5,93,29,8.7,0.0
22,17,1,2024,6.6,92,30,8.2,0.0
23,17,1,2024,7.3,92,30,7.6,0.0
0,18,1,2024,7.4,92,30,7.6,0.0
1,18,1,2024,7.9,91,30,8.2,0.0
2,18,1,2024,8.5,88,31,9.6,0.0
3,18,1,2024,9.3,85,47,12.3,0.0
4,18,1,2024,10.4,77,70,19.7,0.0
5,18,1,2024,10.4,75,74,19.4,0.0
6,18,1,2024,10.5,74,48,20.3,0.0
7,18,1,2024,10.9,70,44,23.1,0.0
8,18,1,2024,11.3,67,42,24.5,0.0
9,18,1,2024,11.7,65,35,28.8,0.0
10,18,1,2024,12.2,63,71,31.7,0.0
11,18,1,2024,12.6,63,96,32.6,10.7
12,18,1,2024,12.9,65,96,33.4,12.0
13,18,1,2024,12.6,74,88,32.3,3.1
14,18,1,2024,12.7,78,52,34.8,7.8
15,18,1,2024,13.8,76,90,33.8,154.1
16,18,1,2024,14.2,74,43,37.7,175.0
17,18,1,2024,14.3,74,53,34.5,48.3
18,18,1,2024,14.1,75,41,30.9,0.0
19,18,1,2024,14.1,75,18,30.9,0.0
20,18,1,2024,14.0,75,15,36.1,0.0
21,18,1,2024,14.1,72,33,35.8,0.0
22,18,1,2024,13.9,74,63,33.4,0.0
23,18,1,2024,14.4,75,99,38.3,0.0
0,19,1,2024,14.8,73,69,40.6,0.0
1,19,1,2024,14.9,71,13,44.7,0.0
2,19,1,2024,14.8,70,22,41.4,0.0
3,19,1,2024,14.7,70,41,37.5,0.0
4,19,1,2024,14.3,70,52,32.6,0.0
5,19,1,2024,13.8,72,22,30.0,0.0
6,19,1,2024,13.7,72,45,26.9,0.0
7,19,1,2024,13.8,72,23,26.4,0.0
8,19,1,2024,12.7,80,34,27.8,0.0
9,19,1,2024,13.8,73,23,33.4,7.2
10,19,1,2024,14.1,75,34,32.5,80.1
11,19,1,2024,14.6,76,25,35.0,156.1
12,19,1,2024,15.0,78,33,28.7,218.4
13,19,1,2024,15.7,77,33,28.5,256.5
14,19,1,2024,16.1,76,29,26.3,273.1
15,19,1,2024,16.2,76,13,25.0,279.9
16,19,1,2024,15.6,76,16,26.3,123.7
17,19,1,2024,14.4,79,13,23.2,65.3
18,19,1,2024,14.0,78,19,21.3,0.0
19,19,1,2024,14.0,81,27,22.3,0.0
20,19,1,2024,14.1,78,0,23.8,0.0
21,19,1,2024,13.6,79,3,21.9,0.0
22,19,1,2024,13.3,81,2,22.4,0.0
23,19,1,2024,13.0,82,11,22.4,0.0
0,20,1,2024,12.9,83,4,22.7,0.0
1,20,1,2024,12.8,84,9,22.7,0.0
2,20,1,2024,12.5,85,20,21.7,0.0
3,20,1,2024,12.1,86,26,19.8,0.0
4,20,1,2024,12.2,84,65,15.1,0.0
5,20,1,2024,12.1,84,86,14.3,0.0
6,20,1,2024,12.6,81,90,13.2,0.0
7,20,1,2024,11.3,92,100,20.3,0.0
8,20,1,2024,10.7,90,100,22.2,0.0
9,20,1,2024,9.2,91,100,24.7,0.0
10,20,1,2024,8.8,89,100,26.4,2.9
11,20,1,2024,8.6,88,100,26.5,3.6
12,20,1,2024,8.2,86,100,27.5,1.1
13,20,1,2024,7.9,85,100,29.1,1.0
14,20,1,2024,6.9,89,100,31.0,0.0
15,20,1,2024,6.5,89,100,32.2,0.0
16,20,1,2024,5.2,89,100,36.3,0.0
17,20,1,2024,4.6,90,100,37.1,0.0
18,20,1,2024,4.0,92,100,34.3,0.0
19,20,1,2024,4.1,92,100,32.7,0.0
20,20,1,2024,4.2,91,100,34.1,0.0
21,20,1,2024,4.4,90,100,32.9,0.0
22,20,1,2024,4.6,89,100,31.7,0.0
23,20,1,2024,4.6,89,100,31.6,0.0
0,21,1,2024,4.6,89,100,31.8,0.0
1,21,1,2024,4.6,89,100,31.2,0.0
2,21,1,2024,4.4,89,100,31.3,0.0
3,21,1,2024,4.7,88,100,28.9,0.0
4,21,1,2024,5.0,88,100,27.0,0.0
5,21,1,2024,5.0,87,100,29.1,0.0
6,21,1,2024,5.2,82,100,29.4,0.0
7,21,1,2024,5.3,79,100,26.6,0.0
8,21,1,2024,5.5,76,100,25.5,0.0
9,21,1,2024,5.4,74,100,29.1,0.0
10,21,1,2024,5.6,72,100,27.5,0.0
11,21,1,2024,6.4,65,100,28.0,10.7
12,21,1,2024,6.8,57,100,32.8,26.2
13,21,1,2024,6.9,56,100,33.4,19.6
14,21,1,2024,7.1,56,100,36.1,43.1
15,21,1,2024,6.9,57,100,36.5,24.1
16,21,1,2024,6.1,62,100,36.9,0.0
17,21,1,2024,6.1,64,100,33.3,0.0
18,21,1,2024,6.2,61,90,32.6,0.1
19,21,1,2024,5.9,61,34,30.2,0.0
20,21,1,2024,5.2,63,47,27.9,0.0
21,21,1,2024,5.2,63,69,27.3,0.0
22,21,1,2024,5.5,62,86,28.7,0.0
23,21,1,2024,5.1,63,9,27.3,0.0
0,22,1,2024,5.3,61,68,26.0,0.0
1,22,1,2024,5.3,63,86,26.4,0.0
2,22,1,2024,5.2,63,50,25.2,0.0
3,22,1,2024,4.6,68,26,26.5,0.0
4,22,1,2024,4.9,70,100,26.7,0.0
5,22,1,2024,5.2,67,87,25.9,0.0
6,22,1,2024,4.9,66,100,24.1,0.0
7,22,1,2024,5.2,61,100,25.2,0.0
8,22,1,2024,5.4,58,91,26.6,0.0
9,22,1,2024,5.6,57,56,26.5,0.0
10,22,1,2024,6.0,57,61,27.3,63.5
11,22,1,2024,6.8,49,90,32.4,160.5
12,22,1,2024,6.5,63,78,30.8,55.7
13,22,1,2024,6.9,60,100,30.5,137.1
14,22,1,2024,6.9,57,100,29.9,54.9
15,22,1,2024,6.2,66,98,31.2,70.4
16,22,1,2024,5.9,70,99,30.0,47.7
17,22,1,2024,5.7,71,85,26.5,26.9
18,22,1,2024,5.8,64,90,23.5,1.6
19,22,1,2024,5.6,61,88,25.2,0.0
20,22,1,2024,5.5,59,75,24.3,0.0
21,22,1,2024,5.3,58,63,21.8,0.0
22,22,1,2024,5.4,59,91,20.5,0.0
23,22,1,2024,5.7,63,95,21.1,0.0
0,23,1,2024,5.6,69,82,20.1,0.0
1,23,1,2024,5.3,76,63,18.4,0.0
2,23,1,2024,5.1,77,21,17.6,0.0
3,23,1,2024,4.8,76,15,15.9,0.0
4,23,1,2024,5.0,65,65,15.7,0.0
5,23,1,2024,4.9,66,47,16.1,0.0
6,23,1,2024,4.7,70,35,15.0,0.0
7,23,1,2024,4.4,73,63,13.1,0.0
8,23,1,2024,4.3,73,73,11.8,0.0
9,23,1,2024,4.3,72,35,12.0,4.7
10,23,1,2024,5.0,68,2,14.6,66.1
11,23,1,2024,6.2,65,0,13.8,237.5
12,23,1,2024,7.4,60,0,16.4,352.4
13,23,1,2024,8.0,58,2,17.6,399.9
14,23,1,2024,8.2,57,6,19.1,397.0
15,23,1,2024,8.0,59,9,20.4,331.7
16,23,1,2024,7.9,58,11,19.1,230.5
17,23,1,2024,7.3,61,36,19.2,95.5
18,23,1,2024,6.3,65,47,17.3,2.6
19,23,1,2024,5.8,67,31,15.9,0.0
20,23,1,2024,5.6,69,22,15.3,0.0
21,23,1,2024,5.2,71,18,14.1,0.0
22,23,1,2024,5.1,71,20,13.5,0.0
23,23,1,2024,5.1,72,9,13.8,0.0
0,24,1,2024,5.1,72,17,13.8,0.0
1,24,1,2024,5.1,73,37,13.8,0.0
2,24,1,2024,5.2,72,35,13.5,0.0
3,24,1,2024,5.3,72,51,13.8,0.0
4,24,1,2024,5.3,71,90,13.9,0.0
5,24,1,2024,5.4,73,90,15.5,0.0
6,24,1,2024,5.5,74,90,16.3,0.0
7,24,1,2024,5.4,77,89,15.3,0.0
8,24,1,2024,5.6,75,90,13.5,0.0
9,24,1,2024,5.9,71,90,14.1,0.0
10,24,1,2024,6.4,69,90,15.0,11.5
11,24,1,2024,6.9,67,77,17.0,27.3
12,24,1,2024,7.3,66,90,15.3,73.1
13,24,1,2024,7.6,65,90,15.3,29.9
14,24,1,2024,7.2,66,90,16.7,30.4
15,24,1,2024,5.7,81,89,22.0,0.0
16,24,1,2024,6.3,77,90,22.7,4.3
17,24,1,2024,6.3,78,56,20.2,28.7
18,24,1,2024,5.7,82,39,16.2,3.0
19,24,1,2024,5.0,86,24,12.6,0.0
20,24,1,2024,4.6,89,20,13.7,0.0
21,24,1,2024,4.5,90,38,13.7,0.0
22,24,1,2024,4.3,91,32,11.9,0.0
23,24,1,2024,4.0,90,14,12.6,0.0
0,25,1,2024,3.8,89,27,12.0,0.0
1,25,1,2024,3.3,91,20,6.4,0.0
2,25,1,2024,2.0,91,30,6.3,0.0
3,25,1,2024,3.8,83,32,2.1,0.0
4,25,1,2024,2.8,87,81,6.8,0.0
5,25,1,2024,5.1,78,32,11.1,0.0
6,25,1,2024,4.9,79,34,13.7,0.0
7,25,1,2024,5.7,75,37,16.7,0.0
8,25,1,2024,6.0,74,61,16.5,0.0
9,25,1,2024,6.3,75,13,21.7,4.6
10,25,1,2024,6.9,76,29,24.3,87.0
11,25,1,2024,7.4,73,75,24.0,129.2
12,25,1,2024,7.8,71,100,23.3,112.3
13,25,1,2024,8.1,70,100,22.6,20.6
14,25,1,2024,8.0,70,100,21.4,1.0
15,25,1,2024,8.3,70,100,20.1,1.9
16,25,1,2024,9.1,73,76,20.7,219.3
17,25,1,2024,8.7,75,66,17.6,23.1
18,25,1,2024,8.4,79,79,13.2,2.5
19,25,1,2024,7.7,84,100,10.5,0.0
20,25,1,2024,7.6,88,92,14.5,0.0
21,25,1,2024,7.8,86,70,12.5,0.0
22,25,1,2024,6.9,91,91,10.2,0.0
23,25,1,2024,7.4,87,15,10.6,0.0
0,26,1,2024,6.9,89,40,11.7,0.0
1,26,1,2024,7.2,88,86,12.2,0.0
2,26,1,2024,6.4,83,94,12.7,0.0
3,26,1,2024,5.5,83,54,8.1,0.0
4,26,1,2024,5.2,80,33,8.4,0.0
5,26,1,2024,3.9,85,37,6.5,0.0
6,26,1,2024,3.8,85,1,6.8,0.0
7,26,1,2024,3.0,85,0,8.3,0.0
8,26,1,2024,3.4,85,10,6.8,0.0
9,26,1,2024,4.7,84,31,8.3,11.5
10,26,1,2024,6.4,83,47,11.5,92.4
11,26,1,2024,7.5,75,42,10.1,182.3
12,26,1,2024,8.4,68,33,10.1,272.5
13,26,1,2024,9.1,65,15,9.1,360.7
14,26,1,2024,9.7,63,53,11.2,355.2
15,26,1,2024,9.3,59,100,16.1,196.9
16,26,1,2024,8.7,59,87,17.1,48.1
17,26,1,2024,7.7,69,92,15.2,16.0
18,26,1,2024,6.5,77,60,13.8,0.4
19,26,1,2024,5.2,86,85,9.0,0.0
20,26,1,2024,5.0,89,68,7.9,0.0
21,26,1,2024,4.5,92,63,4.8,0.0
22,26,1,2024,4.4,93,61,4.3,0.0
23,26,1,2024,4.4,93,53,4.8,0.0
0,27,1,2024,3.6,94,50,4.9,0.0
1,27,1,2024,3.3,93,24,5.4,0.0
2,27,1,2024,2.7,92,34,5.6,0.0
3,27,1,2024,2.1,92,16,5.7,0.0
4,27,1,2024,1.5,91,51,8.2,0.0
5,27,1,2024,2.9,91,61,7.0,0.0
6,27,1,2024,3.4,86,58,5.8,0.0
7,27,1,2024,3.4,88,34,6.6,0.0
8,27,1,2024,3.7,86,38,6.3,0.0
9,27,1,2024,4.1,87,44,7.2,6.9
10,27,1,2024,5.8,87,41,9.9,97.7
11,27,1,2024,6.9,78,38,14.1,178.6
12,27,1,2024,7.6,72,76,14.5,261.5
13,27,1,2024,8.3,65,88,16.6,271.1
14,27,1,2024,8.2,71,100,19.4,193.3
15,27,1,2024,7.9,72,87,20.3,0.9
16,27,1,2024,8.1,62,100,16.9,59.3
17,27,1,2024,7.1,75,100,15.5,0.0
18,27,1,2024,6.9,78,100,16.1,0.0
19,27,1,2024,6.5,86,100,15.3,0.0
20,27,1,2024,6.5,88,100,14.8,0.0
21,27,1,2024,6.2,89,100,15.5,0.0
22,27,1,2024,6.1,89,100,16.4,0.0
23,27,1,2024,5.5,89,100,19.4,0.0
0,28,1,2024,5.1,88,78,20.7,0.0
1,28,1,2024,5.3,84,100,17.1,0.0
2,28,1,2024,5.4,79,100,18.2,0.0
3,28,1,2024,4.9,83,100,17.2,0.0
4,28,1,2024,5.1,77,41,15.9,0.0
5,28,1,2024,4.5,82,21,16.0,0.0
6,28,1,2024,4.0,84,48,14.1,0.0
7,28,1,2024,4.1,84,31,12.4,0.0
8,28,1,2024,3.9,86,35,13.2,0.0
9,28,1,2024,3.8,87,37,15.2,9.2
10,28,1,2024,5.0,80,28,20.1,62.1
11,28,1,2024,5.8,76,18,21.3,152.4
12,28,1,2024,6.4,69,45,22.0,281.0
13,28,1,2024,6.0,73,30,25.2,278.3
14,28,1,2024,6.3,66,35,26.2,279.8
15,28,1,2024,6.0,63,35,24.9,242.8
16,28,1,2024,6.4,56,70,21.6,204.0
17,28,1,2024,5.5,60,61,19.8,58.6
18,28,1,2024,4.7,65,9,17.3,4.9
19,28,1,2024,3.7,71,52,16.3,0.0
20,28,1,2024,3.6,70,77,17.7,0.0
21,28,1,2024,3.4,80,14,19.5,0.0
22,28,1,2024,3.2,80,59,15.9,0.0
23,28,1,2024,3.0,79,74,17.7,0.0
0,29,1,2024,3.3,80,89,18.1,0.0
1,29,1,2024,3.8,80,98,17.2,0.0
2,29,1,2024,3.7,78,100,17.7,0.0
3,29,1,2024,3.4,83,69,17.3,0.0
4,29,1,2024,3.5,81,80,20.5,0.0
5,29,1,2024,4.1,81,76,24.4,0.0
6,29,1,2024,3.3,84,100,22.6,0.0
7,29,1,2024,3.9,85,77,22.8,0.0
8,29,1,2024,3.6,86,57,21.3,0.0
9,29,1,2024,3.6,88,88,20.5,4.6
10,29,1,2024,4.1,85,100,21.8,42.1
11,29,1,2024,4.5,85,100,23.6,33.0
12,29,1,2024,5.4,82,100,27.3,83.8
13,29,1,2024,4.8,84,64,23.9,8.2
14,29,1,2024,4.9,84,100,27.7,48.1
15,29,1,2024,4.9,83,59,28.2,47.5
16,29,1,2024,4.8,79,63,27.1,58.6
17,29,1,2024,4.2,81,74,26.1,44.9
18,29,1,2024,3.9,84,100,26.1,2.1
19,29,1,2024,3.5,84,79,23.2,0.0
20,29,1,2024,3.6,85,100,22.9,0.0
21,29,1,2024,2.8,85,100,21.0,0.0
22,29,1,2024,3.2,87,100,19.7,0.0
23,29,1,2024,2.9,89,100,19.4,0.0
0,30,1,2024,3.3,87,100,17.6,0.0
1,30,1,2024,2.5,89,100,15.8,0.0
2,30,1,2024,3.4,87,51,14.9,0.0
3,30,1,2024,3.0,90,34,15.9,0.0
4,30,1,2024,3.3,89,85,20.2,0.0
5,30,1,2024,2.9,89,66,19.6,0.0
6,30,1,2024,2.6,89,84,23.5,0.0
7,30,1,2024,3.2,88,66,25.0,0.0
8,30,1,2024,3.2,87,77,24.4,0.0
9,30,1,2024,3.6,87,66,21.9,6.8
10,30,1,2024,4.3,85,63,25.3,64.4
11,30,1,2024,5.2,79,50,28.3,158.0
12,30,1,2024,5.6,78,53,29.8,212.2
13,30,1,2024,6.3,70,43,35.2,233.9
14,30,1,2024,6.1,69,30,36.2,273.1
15,30,1,2024,5.9,69,21,37.7,249.6
16,30,1,2024,6.0,73,43,30.9,192.6
17,30,1,2024,5.3,76,58,30.1,88.8
18,30,1,2024,4.6,80,17,30.1,8.5
19,30,1,2024,4.3,79,18,29.3,0.0
20,30,1,2024,4.1,77,37,26.3,0.0
21,30,1,2024,4.5,73,28,27.0,0.0
22,30,1,2024,4.1,79,45,29.0,0.0
23,30,1,2024,4.0,80,39,26.5,0.0
0,31,1,2024,4.1,80,46,24.0,0.0
1,31,1,2024,4.7,75,47,22.5,0.0
2,31,1,2024,4.6,78,42,25.1,0.0
3,31,1,2024,4.5,79,62,25.7,0.0
4,31,1,2024,4.9,77,6,27.4,0.0
5,31,1,2024,4.7,80,37,27.3,0.0
6,31,1,2024,4.8,79,20,26.9,0.0
7,31,1,2024,4.3,82,50,23.4,0.0
8,31,1,2024,4.5,82,45,23.5,0.0
9,31,1,2024,4.8,81,32,24.7,9.0
10,31,1,2024,5.5,80,92,25.5,62.7
11,31,1,2024,6.4,76,74,32.8,47.1
12,31,1,2024,6.9,73,70,33.6,124.0
13,31,1,2024,7.4,71,94,34.6,186.5
14,31,1,2024,7.4,71,100,34.1,86.5
15,31,1,2024,7.4,68,90,31.6,4.7
16,31,1,2024,6.6,76,100,29.4,2.6
17,31,1,2024,6.5,75,94,27.6,8.2
18,31,1,2024,6.4,76,90,24.6,0.0
19,31,1,2024,6.3,75,90,24.2,0.0
20,31,1,2024,6.0,77,86,22.1,0.0
21,31,1,2024,5.6,78,76,21.0,0.0
22,31,1,2024,5.7,77,90,21.8,0.0
23,31,1,2024,5.8,75,70,21.4,0.0
0,1,2,2024,5.5,77,72,20.2,0.0
1,1,2,2024,5.7,75,39,19.8,0.0
2,1,2,2024,5.4,76,38,18.2,0.0
3,1,2,2024,5.1,76,28,17.0,0.0
4,1,2,2024,5.9,79,90,16.3,0.0
5,1,2,2024,5.9,79,89,16.8,0.0
6,1,2,2024,5.8,80,38,16.3,0.0
7,1,2,2024,5.3,83,31,14.2,0.0
8,1,2,2024,4.8,84,38,12.8,0.0
9,1,2,2024,5.3,80,40,14.3,11.3
10,1,2,2024,6.6,74,40,17.1,80.5
11,1,2,2024,7.6,67,20,18.2,194.0
12,1,2,2024,8.3,63,36,16.5,277.3
13,1,2,2024,8.4,61,90,14.4,222.6
14,1,2,2024,8.3,62,90,12.5,62.9
15,1,2,2024,7.9,64,90,11.0,16.8
16,1,2,2024,8.2,63,90,10.6,34.7
17,1,2,2024,7.5,67,90,11.3,5.2
18,1,2,2024,6.6,74,90,10.6,4.3
19,1,2,2024,5.2,81,40,10.3,0.0
20,1,2,2024,4.2,85,14,9.3,0.0
21,1,2,2024,3.5,87,4,8.9,0.0
22,1,2,2024,3.3,88,0,8.4,0.0
23,1,2,2024,2.9,89,0,6.7,0.0
0,2,2,2024,1.9,90,0,6.3,0.0
1,2,2,2024,0.9,91,0,6.3,0.0
2,2,2,2024,2.4,84,0,2.7,0.0
3,2,2,2024,4.0,79,0,1.1,0.0
4,2,2,2024,1.7,81,0,8.4,0.0
5,2,2,2024,0.7,87,0,10.4,0.0
