hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
12,23,7,2023,33.1,40,0,8.8,710.2
13,23,7,2023,34.0,43,3,9.0,780.4
14,23,7,2023,33.9,46,1,18.1,749.4
15,23,7,2023,33.4,50,48,14.8,688.7
16,23,7,2023,31.4,56,22,19.6,356.3
17,23,7,2023,31.0,52,6,23.7,311.5
18,23,7,2023,30.7,48,5,24.6,272.2
19,23,7,2023,30.0,50,2,21.3,135.8
20,23,7,2023,28.4,58,2,18.5,25.0
21,23,7,2023,25.9,80,4,20.9,0.0
22,23,7,2023,24.9,86,6,14.5,0.0
23,23,7,2023,24.3,89,2,13.0,0.0
0,24,7,2023,23.8,91,1,11.3,0.0
1,24,7,2023,23.5,91,3,9.9,0.0
2,24,7,2023,23.1,92,14,8.0,0.0
3,24,7,2023,24.7,82,7,13.7,0.0
4,24,7,2023,24.7,77,15,15.4,0.0
5,24,7,2023,24.4,76,13,16.6,0.0
6,24,7,2023,24.0,75,11,15.2,0.0
7,24,7,2023,24.7,71,12,17.7,42.6
8,24,7,2023,25.7,67,5,21.0,157.7
9,24,7,2023,26.7,61,8,20.4,328.3
10,24,7,2023,27.8,55,4,20.1,470.5
11,24,7,2023,28.6,49,4,20.6,609.1
12,24,7,2023,29.3,46,1,20.4,713.4
13,24,7,2023,29.7,45,4,21.0,762.2
14,24,7,2023,30.0,42,2,20.9,766.2
15,24,7,2023,31.2,39,19,16.7,720.4
16,24,7,2023,30.0,46,4,21.7,485.6
17,24,7,2023,28.9,50,0,23.1,416.6
18,24,7,2023,27.9,52,0,21.5,299.6
19,24,7,2023,26.9,53,0,21.7,147.2
20,24,7,2023,25.5,60,0,19.7,25.8
21,24,7,2023,24.5,65,0,15.7,0.0
22,24,7,2023,23.8,68,0,14.7,0.0
23,24,7,2023,23.2,70,0,12.9,0.0
0,25,7,2023,22.7,72,0,11.1,0.0
1,25,7,2023,22.1,74,0,9.0,0.0
2,25,7,2023,21.4,75,0,7.6,0.0
3,25,7,2023,21.2,77,0,4.8,0.0
4,25,7,2023,20.0,80,0,6.5,0.0
5,25,7,2023,19.7,80,0,6.6,0.0
6,25,7,2023,19.7,79,0,4.4,0.0
7,25,7,2023,21.8,70,0,7.9,53.0
8,25,7,2023,24.3,57,0,6.4,190.0
9,25,7,2023,26.8,46,0,3.8,364.2
