hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²),Predicted_Consumption_kWh
8,16,10,2024,17.8,86,50,9.9,2.2,5.799420910508921
9,16,10,2024,19.0,77,48,10.7,52.0,5.809271722717658
10,16,10,2024,20.0,69,100,18.5,202.4,5.803799193456014
11,16,10,2024,17.2,77,100,28.5,43.0,5.813530103125828
12,16,10,2024,16.6,72,100,31.1,69.2,5.813530103125828
13,16,10,2024,16.0,73,100,31.4,10.1,5.818188530498393
14,16,10,2024,15.8,74,100,27.4,3.9,5.818188530498393
15,16,10,2024,15.1,79,100,20.1,3.7,5.8184857090802975
16,16,10,2024,14.7,87,100,23.8,0.0,5.8063432127819725
17,16,10,2024,14.1,82,61,25.1,0.0,5.812500706400199
18,16,10,2024,13.9,82,62,21.2,0.0,5.205047159142502
19,16,10,2024,13.5,87,61,18.2,0.0,5.205047159142502
20,16,10,2024,13.8,83,64,17.1,0.0,5.205047159142502
21,16,10,2024,13.8,83,77,15.5,0.0,5.205854825537678
22,16,10,2024,14.0,81,82,14.6,0.0,5.205854825537678
23,16,10,2024,14.2,80,88,14.6,0.0,5.216613410723428
0,17,10,2024,14.4,77,58,13.8,0.0,5.8184857090802975
1,17,10,2024,14.0,77,55,13.2,0.0,5.8184857090802975
2,17,10,2024,13.7,75,17,13.2,0.0,5.8184857090802975
3,17,10,2024,14.4,69,94,18.3,0.0,5.8184857090802975
4,17,10,2024,13.9,71,100,15.6,0.0,5.8184857090802975
5,17,10,2024,13.9,72,96,15.3,0.0,5.8184857090802975
6,17,10,2024,14.1,72,32,17.2,0.0,5.8184857090802975
7,17,10,2024,13.9,73,33,17.4,0.0,5.8184857090802975
8,17,10,2024,13.8,77,71,18.1,11.3,5.8184857090802975
9,17,10,2024,15.3,71,51,19.5,42.4,5.82264869719084
10,17,10,2024,16.5,65,65,20.4,183.6,5.814087733906324
11,17,10,2024,17.3,61,82,23.6,196.5,5.809549124389003
12,17,10,2024,17.6,60,100,24.3,132.2,5.809549124389003
13,17,10,2024,18.1,58,100,24.8,165.1,5.809549124389003
14,17,10,2024,18.5,54,100,23.3,79.2,5.808183648121807
15,17,10,2024,19.6,44,35,17.6,34.1,5.803590535803217
16,17,10,2024,19.8,42,97,18.6,211.0,5.803590535803217
17,17,10,2024,18.0,53,35,25.7,25.3,5.807886469539903
18,17,10,2024,17.3,55,65,20.3,0.7,5.171103509379502
19,17,10,2024,16.5,59,57,18.8,0.0,5.172766164228602
20,17,10,2024,16.2,57,55,14.5,0.0,5.180987326108391
