hour,day,month,year,Consumption_kWh,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
10,15,7,2023,6.617152575881631,29.5,48,0,21.5,525.6
11,15,7,2023,6.365296603050369,30.6,44,0,22.9,657.2
12,15,7,2023,7.01032808534315,31.2,42,0,24.2,752.1
13,15,7,2023,6.662342687784908,31.3,42,0,25.1,797.3
14,15,7,2023,6.246058583256298,31.3,41,0,26.1,790.9
15,15,7,2023,6.708022859715418,30.8,45,0,24.7,734.3
16,15,7,2023,6.30021404000013,29.7,48,1,26.8,619.5
17,15,7,2023,6.740655608492574,28.8,49,0,27.8,479.7
18,15,7,2023,6.333533352308812,27.9,54,0,26.7,319.3
19,15,7,2023,5.838713877969033,26.7,60,0,25.7,158.2
20,15,7,2023,6.284728489868041,25.2,69,0,23.2,33.3
21,15,7,2023,6.147079689291085,24.1,75,0,20.6,0.0
22,15,7,2023,6.249399497555583,23.5,80,0,19.6,0.0
23,15,7,2023,6.518082703220448,23.2,82,0,19.1,0.0
0,16,7,2023,6.449108369204763,22.9,84,0,18.3,0.0
1,16,7,2023,6.322021357116108,22.5,86,0,17.8,0.0
2,16,7,2023,6.288076790799099,22.3,87,0,17.8,0.0
3,16,7,2023,6.306502826964121,21.6,89,0,14.0,0.0
4,16,7,2023,6.491179970851954,21.4,90,0,12.5,0.0
5,16,7,2023,6.595743391909641,21.3,90,0,13.6,0.0
6,16,7,2023,6.579628098037985,21.4,90,0,15.2,0.0
7,16,7,2023,6.717251210464487,22.9,81,0,17.6,58.8
8,16,7,2023,6.513705871174957,24.5,73,0,19.6,203.5
9,16,7,2023,6.87383891749481,26.0,63,4,21.2,375.7
10,16,7,2023,6.444291189895991,27.3,55,12,21.8,526.9
11,16,7,2023,7.190497689852886,28.3,51,9,22.7,626.2
12,16,7,2023,6.666872235146732,29.1,44,1,23.9,735.6
13,16,7,2023,6.29616600910141,29.5,41,0,25.3,814.6
14,16,7,2023,6.242732273690202,29.3,42,0,26.4,807.7
15,16,7,2023,6.631073502016277,28.7,41,0,26.1,744.9
16,16,7,2023,6.454589701874018,28.0,44,0,26.8,631.6
17,16,7,2023,6.688955521728503,27.4,47,0,26.6,487.6
18,16,7,2023,6.128764804348867,26.4,51,0,27.4,325.9
19,16,7,2023,5.992248170041262,25.4,60,0,26.8,163.2
20,16,7,2023,5.798756968688379,24.4,65,0,24.2,34.4
21,16,7,2023,5.631743592034014,23.6,72,0,21.6,0.0
22,16,7,2023,5.898826660188726,23.2,75,0,19.6,0.0
23,16,7,2023,6.224555096786348,22.9,78,0,17.7,0.0
0,17,7,2023,6.530694639010238,22.6,81,0,17.1,0.0
1,17,7,2023,6.16573650829969,22.2,85,0,15.3,0.0
2,17,7,2023,6.520466434440483,21.9,88,0,15.0,0.0
3,17,7,2023,6.573500547909896,21.3,91,0,12.6,0.0
4,17,7,2023,6.256206843927404,21.0,92,0,10.5,0.0
5,17,7,2023,6.51560247946407,21.1,91,0,13.2,0.0
6,17,7,2023,6.491723382589187,21.1,91,0,13.3,0.0
7,17,7,2023,6.191428628520032,22.6,83,0,16.3,59.3
8,17,7,2023,6.566618043064758,24.6,72,4,17.8,202.5
9,17,7,2023,6.617367334569746,26.3,63,4,20.8,364.2
10,17,7,2023,6.7479340137715065,27.7,53,3,22.2,519.3
11,17,7,2023,6.740621715986413,28.9,46,0,23.8,661.8
12,17,7,2023,6.132753860988415,29.6,43,0,25.0,767.9
13,17,7,2023,6.242714942998907,29.7,40,0,26.5,811.6
14,17,7,2023,6.605930019779852,29.6,38,0,29.0,803.8
15,17,7,2023,6.605617690705739,28.4,44,0,25.2,742.9
16,17,7,2023,6.605933124554199,27.9,45,0,26.3,626.8
17,17,7,2023,7.440354075641368,27.2,47,0,27.7,484.8
18,17,7,2023,6.119893830650979,26.3,52,0,27.6,322.3
19,17,7,2023,6.261062613022837,25.5,56,0,26.8,159.9
20,17,7,2023,6.215671643850988,24.4,63,0,24.7,33.1
21,17,7,2023,6.140019015804137,23.6,66,0,20.1,0.0
22,17,7,2023,5.898353891817601,23.2,69,0,17.8,0.0
23,17,7,2023,6.166913508101004,22.8,72,0,16.7,0.0
0,18,7,2023,6.250835417568046,22.4,75,0,15.7,0.0
1,18,7,2023,6.384837069517437,22.0,77,0,14.8,0.0
2,18,7,2023,6.322700834245164,21.6,80,0,13.2,0.0
3,18,7,2023,6.46451025604902,21.9,79,0,13.7,0.0
4,18,7,2023,7.022706362870816,21.6,80,0,11.2,0.0
5,18,7,2023,5.977225423054502,21.4,81,0,11.7,0.0
6,18,7,2023,6.615606768796068,21.2,81,0,10.9,0.0
7,18,7,2023,6.040862753405027,22.4,75,0,11.6,59.8
8,18,7,2023,6.326058754755081,24.6,64,0,15.0,204.2
9,18,7,2023,6.716279370444281,26.2,57,0,17.0,378.6
10,18,7,2023,6.460111725976305,27.6,51,0,19.9,544.1
11,18,7,2023,6.1746055267201125,28.4,47,0,23.9,679.1
12,18,7,2023,6.265215793887448,28.9,46,0,24.8,768.0
13,18,7,2023,6.613941158436108,29.3,43,0,25.5,812.6
14,18,7,2023,6.261450063273156,29.4,44,0,25.6,803.8
15,18,7,2023,6.498156368597933,28.6,45,0,20.9,738.0
16,18,7,2023,6.455434681178393,28.4,44,0,23.0,624.9
17,18,7,2023,6.281141634300985,27.7,46,0,24.7,482.9
18,18,7,2023,6.480027743533771,27.1,48,0,24.7,319.6
19,18,7,2023,6.102521476781942,26.1,54,0,23.0,158.9
20,18,7,2023,5.437756074538038,25.0,60,0,21.0,32.2
21,18,7,2023,5.990655299894796,23.9,66,0,17.4,0.0
22,18,7,2023,5.778595105010343,23.3,70,0,16.0,0.0
23,18,7,2023,6.157150054901496,22.8,73,0,15.0,0.0
0,19,7,2023,6.212946571818223,22.4,76,0,14.3,0.0
1,19,7,2023,6.382392646059673,21.9,79,0,12.5,0.0
2,19,7,2023,6.537323576171512,21.6,81,0,12.0,0.0
3,19,7,2023,6.627515554968928,21.3,79,0,10.1,0.0
4,19,7,2023,6.111002654662453,20.9,85,0,11.7,0.0
5,19,7,2023,6.32745144746616,20.9,88,0,10.0,0.0
6,19,7,2023,6.292340428636159,20.9,88,0,9.8,0.0
7,19,7,2023,6.24774444828297,22.4,81,0,11.3,54.9
8,19,7,2023,6.852440316496672,24.6,71,0,12.8,191.5
9,19,7,2023,6.512322184166637,26.6,60,0,14.5,362.4
10,19,7,2023,6.095855767842636,28.5,51,0,13.4,525.3
11,19,7,2023,6.640542243190091,29.9,44,0,12.4,661.0
12,19,7,2023,6.941615805679556,31.1,40,0,13.2,751.5
13,19,7,2023,6.669193071564184,31.9,39,0,18.1,794.4
14,19,7,2023,6.031234264937894,31.8,37,0,24.6,783.0
15,19,7,2023,6.290018238209835,30.6,37,0,23.1,722.6
16,19,7,2023,6.727804543723053,30.0,39,0,21.9,620.1
17,19,7,2023,6.234159390021702,29.6,41,0,20.9,476.4
18,19,7,2023,6.022031613462954,28.5,45,0,21.1,313.5
19,19,7,2023,6.104735269783732,27.2,52,0,21.2,152.7
20,19,7,2023,5.679344138531877,25.7,61,0,18.3,29.9
21,19,7,2023,5.896195417410947,24.4,68,0,16.1,0.0
22,19,7,2023,5.1007599214091295,24.0,67,1,14.2,0.0
23,19,7,2023,5.654979846092825,23.6,68,0,12.4,0.0
0,20,7,2023,6.315144025664703,23.0,69,0,8.9,0.0
1,20,7,2023,6.066340268021781,22.4,70,0,7.9,0.0
2,20,7,2023,6.7863888894959015,22.1,67,0,8.9,0.0
3,20,7,2023,6.020750719022834,21.7,69,0,10.0,0.0
4,20,7,2023,6.268274941838747,21.4,69,0,9.2,0.0
5,20,7,2023,6.410971207834516,21.2,70,0,8.1,0.0
6,20,7,2023,6.738604385779521,21.1,71,0,10.0,0.0
7,20,7,2023,6.019320525718133,22.4,66,0,11.2,55.5
8,20,7,2023,6.669077001551733,24.9,59,0,7.6,193.2
9,20,7,2023,6.380844328767889,27.7,50,0,6.0,367.4
10,20,7,2023,6.132908900751005,29.8,43,0,5.0,532.2
11,20,7,2023,6.49381193207881,31.4,39,0,5.6,668.7
12,20,7,2023,6.42805098740636,32.2,38,0,5.4,758.9
13,20,7,2023,6.228231844223295,33.1,39,0,4.7,798.5
14,20,7,2023,6.395736584760497,34.2,33,0,2.7,786.0
15,20,7,2023,6.281957664297552,33.4,42,7,10.6,722.6
16,20,7,2023,6.406665399825805,33.9,41,8,6.4,584.6
17,20,7,2023,6.543818732143254,33.5,43,19,4.6,449.5
18,20,7,2023,6.2747902675493314,33.0,46,6,7.9,274.6
19,20,7,2023,5.568832188806281,32.0,49,1,7.3,139.7
20,20,7,2023,6.411544407177059,31.0,53,1,6.4,27.7
21,20,7,2023,5.390264113632368,29.4,58,2,5.8,0.0
22,20,7,2023,5.840339789754097,28.3,60,0,6.0,0.0
23,20,7,2023,6.025365365134137,27.1,62,0,5.1,0.0
0,21,7,2023,6.415927312689568,26.5,64,0,5.0,0.0
1,21,7,2023,6.190004465800662,25.2,70,0,1.9,0.0
2,21,7,2023,6.293648783166491,24.3,74,0,3.3,0.0
3,21,7,2023,6.222429112091101,24.1,77,0,5.9,0.0
4,21,7,2023,6.198338156519757,23.6,79,1,6.1,0.0
5,21,7,2023,6.558079870011065,22.7,84,1,4.4,0.0
6,21,7,2023,6.434933217247071,21.9,91,4,5.5,0.0
7,21,7,2023,6.172451946940646,23.6,85,17,3.2,48.6
8,21,7,2023,6.570579314614122,25.4,79,0,5.4,154.1
9,21,7,2023,6.422504225974961,27.7,68,0,10.5,348.8
10,21,7,2023,6.54889487546555,29.9,57,1,14.6,511.2
11,21,7,2023,6.503086556236713,31.1,51,16,16.2,622.7
12,21,7,2023,6.1384305930252925,31.3,48,35,15.8,636.1
13,21,7,2023,6.205634085706567,31.5,47,20,16.1,574.6
14,21,7,2023,6.5325027470366255,32.4,42,5,16.3,595.4
15,21,7,2023,6.498271912114175,32.0,47,16,11.3,644.7
16,21,7,2023,6.340453947264773,30.7,51,37,21.2,431.0
17,21,7,2023,6.375011191583006,29.6,52,10,19.7,318.9
18,21,7,2023,6.165095569702917,29.1,53,4,19.2,265.2
19,21,7,2023,5.6977864985468525,27.8,57,3,20.3,137.2
20,21,7,2023,5.982453691048319,26.3,67,1,19.2,26.3
21,21,7,2023,5.795131182647337,25.1,78,2,16.7,0.0
22,21,7,2023,5.791259044949005,24.7,84,0,15.4,0.0
23,21,7,2023,6.120373558752608,24.2,88,0,13.8,0.0
0,22,7,2023,6.519620339254231,23.8,92,0,11.9,0.0
1,22,7,2023,6.516643661007383,23.4,95,0,10.8,0.0
2,22,7,2023,6.639635953795806,23.1,96,0,11.5,0.0
3,22,7,2023,6.318517212415413,23.8,95,90,9.4,0.0
4,22,7,2023,6.483754494830965,24.3,92,90,11.8,0.0
5,22,7,2023,6.235699562858859,24.3,91,90,10.9,0.0
6,22,7,2023,6.394307840129335,23.8,93,90,8.0,0.0
7,22,7,2023,6.280730488415302,24.2,89,22,9.5,15.1
8,22,7,2023,6.337515243255403,25.6,78,5,7.6,157.0
9,22,7,2023,6.462055508366452,27.2,68,0,4.1,352.6
10,22,7,2023,6.108711081198855,28.4,61,0,5.9,521.5
11,22,7,2023,6.836363070928589,29.6,57,0,7.7,655.0
12,22,7,2023,6.061761906632298,30.6,52,0,11.3,743.4
13,22,7,2023,6.00971909881029,31.8,43,0,13.7,780.4
14,22,7,2023,6.6027939703822405,32.7,37,0,14.5,766.2
15,22,7,2023,6.511181925497958,32.2,41,0,16.6,715.7
16,22,7,2023,6.469296206270262,31.4,43,4,16.9,599.3
17,22,7,2023,6.470352629323293,31.4,44,6,14.1,433.9
18,22,7,2023,5.810204558795495,31.6,44,10,11.7,279.2
19,22,7,2023,5.588952659135765,31.3,43,4,8.7,131.0
20,22,7,2023,5.832217391555655,30.2,44,6,7.4,24.5
21,22,7,2023,5.643975824129195,28.2,50,1,6.0,0.0
22,22,7,2023,6.057046185361662,27.3,57,0,6.1,0.0
23,22,7,2023,5.7765019066316885,26.9,62,0,6.0,0.0
0,23,7,2023,6.074682074625025,26.0,64,0,7.9,0.0
1,23,7,2023,6.200709913409905,25.4,66,0,7.4,0.0
